customer,age_band,gender,income,policy_type,tenure_years,vehicle_type,response
ME37450,<30,Male,89781,Special Auto,14,A,No
KO86181,<30,Female,0,Personal Auto,14,A,No
KD63933,<30,Male,24030,Personal Auto,14,A,No
CM66204,<30,Female,26335,Personal Auto,14,A,No
NV13794,<30,Female,55986,Personal Auto,14,A,No
HF75891,<30,Female,82302,Personal Auto,14,A,No
NB81923,<30,Female,0,Personal Auto,14,A,No
AV96010,<30,Male,40097,Personal Auto,14,A,No
CA22248,<30,Female,60546,Personal Auto,14,A,No
PK23339,<30,Female,72460,Personal Auto,14,A,No
JY66887,<30,Female,0,Personal Auto,14,A,No
NH16984,<30,Female,0,Personal Auto,14,A,No
UV12583,<30,Female,76694,Personal Auto,14,A,No
VG56765,<30,Male,95697,Personal Auto,14,A,Yes
AK11669,<30,Female,59232,Corporate Auto,14,A,No
SZ60450,<30,Male,40272,Personal Auto,14,A,No
MS87381,<30,Female,0,Personal Auto,14,A,No
LP47259,<30,Male,0,Corporate Auto,14,A,No
No31089,<30,Female,65742,Personal Auto,14,A,No
SD83603,<30,Female,56830,Personal Auto,14,A,No
TK65222,<30,Male,22103,Personal Auto,14,A,No
HB48073,<30,Female,66325,Corporate Auto,14,A,No
DO60145,<30,Male,0,Personal Auto,14,A,Yes
BA40043,<30,Male,60689,Corporate Auto,14,A,No
EC28398,<30,Female,22886,Corporate Auto,14,A,Yes
FE99816,<30,Female,0,Personal Auto,14,A,No
HS39343,<30,Female,29633,Corporate Auto,14,A,No
GL44478,<30,Male,24067,Corporate Auto,14,A,No
EF84269,<30,Female,51489,Personal Auto,14,A,No
RD22761,<30,Male,0,Personal Auto,14,A,No
DO41287,<30,Male,0,Personal Auto,14,A,No
OO89057,<30,Female,54054,Personal Auto,14,A,No
DQ92905,<30,Male,0,Personal Auto,14,A,No
EW33419,<30,Female,28513,Corporate Auto,14,A,Yes
KH16079,<30,Female,0,Personal Auto,14,A,No
GU99037,<30,Male,79898,Corporate Auto,14,A,No
BM92346,<30,Female,66676,Personal Auto,14,A,Yes
TE60343,<30,Male,25746,Corporate Auto,14,A,No
RU75949,<30,Male,85789,Personal Auto,14,A,No
PP35705,<30,Male,26376,Personal Auto,14,A,No
ZM45168,<30,Male,14321,Personal Auto,14,A,No
SH93005,<30,Male,13528,Personal Auto,14,A,Yes
QK24293,<30,Female,0,Corporate Auto,14,A,No
CJ72056,<30,Male,65636,Personal Auto,14,A,No
ZY20779,<30,Male,0,Personal Auto,14,A,No
BP28492,<30,Female,38713,Corporate Auto,14,A,Yes
AN67558,<30,Male,0,Personal Auto,14,A,No
ZJ90079,<30,Female,64816,Corporate Auto,14,A,No
GS85403,<30,Female,0,Corporate Auto,14,A,Yes
SK95364,<30,Female,0,Personal Auto,14,A,No
UI80897,<30,Male,50470,Corporate Auto,14,A,No
OJ65428,<30,Male,27906,Personal Auto,14,A,No
WP64059,<30,Female,91814,Personal Auto,14,A,No
IP52990,<30,Female,38399,Personal Auto,14,A,No
VF36700,<30,Female,20983,Personal Auto,14,A,No
NR16284,<30,Female,70263,Personal Auto,14,A,Yes
AB13432,<30,Male,0,Personal Auto,14,A,No
XX53620,<30,Female,80590,Corporate Auto,14,A,No
AZ38648,<30,Female,21514,Personal Auto,14,A,Yes
HB24005,<30,Male,31617,Personal Auto,14,A,No
AV76907,<30,Female,40864,Personal Auto,14,A,Yes
ER97256,<30,Female,55350,Personal Auto,14,A,Yes
CJ97736,<30,Female,31364,Personal Auto,14,A,No
AZ64856,<30,Female,34452,Personal Auto,14,A,No
SA88518,<30,Female,50296,Personal Auto,14,A,No
ED61615,<30,Male,26189,Personal Auto,14,A,No
JG35886,<30,Female,65085,Personal Auto,14,A,No
MW48891,<30,Female,0,Personal Auto,14,A,Yes
DB26077,<30,Female,18866,Personal Auto,14,A,No
RL31641,<30,Female,0,Personal Auto,14,A,No
KX55910,<30,Female,62803,Personal Auto,14,A,No
PJ86059,<30,Female,83460,Corporate Auto,14,A,No
QB47024,<30,Female,53998,Personal Auto,14,A,No
LG64797,<30,Female,25771,Personal Auto,14,A,No
TP34946,<30,Male,26784,Corporate Auto,14,A,No
OO63074,<30,Female,25261,Personal Auto,14,A,No
JL70559,<30,Female,0,Personal Auto,14,A,No
TW73441,<30,Female,73478,Personal Auto,14,A,No
PZ47901,<30,Female,0,Corporate Auto,14,A,Yes
FV22585,<30,Male,74487,Personal Auto,14,A,No
AU23837,<30,Female,64014,Corporate Auto,14,A,No
YN39714,<30,Female,80213,Personal Auto,14,A,No
HX74855,<30,Male,95697,Personal Auto,14,A,Yes
ME44353,<30,Female,32848,Personal Auto,14,A,No
CV40610,<30,Male,0,Personal Auto,14,A,No
MV69686,<30,Female,38500,Corporate Auto,14,A,No
IB67546,<30,Female,23940,Personal Auto,14,A,No
AV93209,<30,Female,31283,Personal Auto,14,A,No
OZ41737,<30,Female,0,Personal Auto,14,A,No
QQ39596,<30,Female,0,Personal Auto,14,A,No
DQ19343,<30,Female,57925,Corporate Auto,14,A,No
IG89777,<30,Male,81145,Corporate Auto,14,A,No
SH48087,<30,Female,27231,Personal Auto,14,A,No
FL82372,<30,Female,22547,Corporate Auto,14,A,No
WJ57919,<30,Male,56342,Special Auto,14,A,Yes
CI60365,<30,Female,20090,Special Auto,14,A,Yes
DR84620,<30,Male,72149,Personal Auto,14,A,No
BG42047,<30,Male,17658,Personal Auto,14,A,No
AF41118,<30,Male,10710,Personal Auto,14,A,No
QQ25666,<30,Male,60120,Personal Auto,14,A,No
OK31456,<30,Female,51643,Corporate Auto,14,A,Yes
VZ18907,<30,Female,80807,Personal Auto,14,A,No
YU79270,<30,Male,27132,Personal Auto,14,A,No
WK18603,<30,Male,85607,Personal Auto,14,A,No
JK90180,<30,Male,0,Personal Auto,14,A,No
KC22636,<30,Female,33881,Personal Auto,14,A,No
SO43919,<30,Male,31650,Personal Auto,14,A,No
NE29938,<30,Female,0,Personal Auto,14,A,No
WW30771,<30,Male,28728,Personal Auto,14,A,No
BL29046,<30,Female,68931,Corporate Auto,14,A,Yes
LN50325,<30,Female,20440,Corporate Auto,14,A,No
TL43709,<30,Male,89689,Personal Auto,14,A,No
VQ65197,<30,Female,0,Personal Auto,14,A,No
VQ97965,<30,Female,73643,Corporate Auto,14,A,No
SZ70655,<30,Female,0,Corporate Auto,14,A,No
QP69826,<30,Male,0,Corporate Auto,14,A,Yes
YZ19736,<30,Male,46900,Personal Auto,14,A,Yes
CP92616,<30,Male,83006,Personal Auto,14,A,No
NX37589,<30,Female,79251,Personal Auto,14,A,No
UT21323,<30,Male,0,Personal Auto,14,A,No
CM78608,<30,Female,88359,Personal Auto,14,A,No
GU41198,<30,Female,62421,Corporate Auto,14,A,No
YB42706,<30,Male,0,Corporate Auto,14,A,No
UX91266,<30,Male,34307,Personal Auto,14,A,No
WO53546,<30,Male,0,Personal Auto,14,A,No
ZX85480,<30,Female,66685,Personal Auto,14,A,No
NS57426,<30,Male,28915,Personal Auto,14,A,No
QJ22057,<30,Female,0,Personal Auto,14,A,No
FZ79470,<30,Female,0,Personal Auto,14,A,No
EM29019,<30,Female,61337,Personal Auto,14,A,No
VE64781,<30,Female,75685,Personal Auto,14,A,No
ZS94723,<30,Female,0,Personal Auto,14,A,No
UB51030,<30,Female,0,Special Auto,14,A,No
IN65727,<30,Female,63684,Personal Auto,14,A,No
IE36279,<30,Male,80306,Corporate Auto,14,A,No
KL65897,<30,Female,0,Personal Auto,14,A,No
BT20606,<30,Male,83308,Personal Auto,14,A,No
VK57280,<30,Male,0,Personal Auto,14,A,No
BW80872,<30,Male,34549,Personal Auto,14,A,No
XQ51968,<30,Male,0,Corporate Auto,14,A,Yes
EP29567,<30,Male,16224,Corporate Auto,14,A,No
AX70794,<30,Male,47122,Personal Auto,14,A,No
NJ46849,<30,Male,0,Personal Auto,14,A,No
WH20102,<30,Male,37937,Personal Auto,14,A,Yes
QO86948,<30,Male,0,Personal Auto,14,A,No
DN14211,<30,Male,17150,Personal Auto,14,A,No
GL66847,<30,Female,62902,Personal Auto,14,A,Yes
YJ16163,<30,Female,51643,Special Auto,14,A,Yes
QT27514,<30,Female,25134,Personal Auto,14,A,Yes
QF17381,<30,Female,0,Corporate Auto,14,A,No
BL90769,<30,Female,33190,Personal Auto,14,A,Yes
LH26563,<30,Female,17913,Personal Auto,14,A,No
WK24299,<30,Male,20993,Personal Auto,14,A,Yes
MN74944,<30,Male,52210,Personal Auto,14,A,No
LE65901,<30,Female,58082,Personal Auto,14,A,No
OO72857,<30,Male,0,Personal Auto,14,A,No
FP34904,<30,Male,86599,Corporate Auto,14,A,No
MR60878,<30,Female,44362,Corporate Auto,14,A,No
CY45848,<30,Female,82214,Personal Auto,14,A,No
BC66921,<30,Female,41228,Personal Auto,14,A,No
FM52759,<30,Male,67798,Personal Auto,14,A,Yes
HH30454,<30,Male,0,Personal Auto,14,A,No
EA52579,<30,Female,0,Personal Auto,14,A,No
XS94482,<30,Female,0,Personal Auto,14,A,No
NI18835,<30,Male,51991,Personal Auto,14,A,No
RS66246,<30,Female,0,Personal Auto,14,A,No
YP41539,<30,Female,88669,Personal Auto,14,A,No
RB63074,<30,Male,0,Personal Auto,14,A,No
NL75739,<30,Male,10375,Personal Auto,14,A,No
RF94484,<30,Female,22571,Corporate Auto,14,A,Yes
JA24437,<30,Male,0,Personal Auto,14,A,No
MS11057,<30,Male,84539,Personal Auto,14,A,No
HZ56678,<30,Female,20261,Personal Auto,14,A,No
FS49381,<30,Female,25813,Personal Auto,14,A,No
TK38732,<30,Male,47824,Personal Auto,14,A,No
FI86516,<30,Female,0,Corporate Auto,14,A,No
KS12294,<30,Male,0,Personal Auto,14,A,No
BS90503,<30,Female,86640,Personal Auto,14,A,No
AG39150,<30,Male,0,Personal Auto,14,A,No
BJ22117,<30,Male,53390,Personal Auto,14,A,No
BK85520,<30,Female,25915,Corporate Auto,14,A,No
KX23516,<30,Female,0,Personal Auto,14,A,No
MU76701,<30,Female,62445,Personal Auto,14,A,No
JH73503,<30,Male,24804,Personal Auto,14,A,No
JC38573,<30,Male,36088,Corporate Auto,14,A,Yes
NL33789,<30,Female,53093,Corporate Auto,14,A,No
OY44814,<30,Male,0,Personal Auto,14,A,No
AQ70385,<30,Male,30242,Personal Auto,14,A,No
ZU35962,<30,Female,0,Personal Auto,14,A,No
VD96075,<30,Male,58299,Personal Auto,14,A,No
VZ81004,<30,Female,35973,Personal Auto,14,A,No
OU53351,<30,Male,36635,Corporate Auto,14,A,No
BZ92811,<30,Female,88122,Corporate Auto,14,A,No
DO18118,<30,Female,0,Personal Auto,14,A,No
QN62538,<30,Male,0,Corporate Auto,14,A,No
DX34647,<30,Female,43137,Personal Auto,14,A,No
PT40521,<30,Female,23904,Corporate Auto,14,A,Yes
IB81655,<30,Male,50147,Personal Auto,14,A,No
WO95180,<30,Female,22283,Corporate Auto,14,A,Yes
BU72633,<30,Male,66661,Personal Auto,14,A,No
PR37714,<30,Female,32238,Personal Auto,14,A,No
ZU76536,<30,Female,45032,Personal Auto,14,A,No
EP82214,<30,Female,68189,Special Auto,14,A,No
CC46747,<30,Female,0,Personal Auto,14,A,No
OY20177,<30,Male,52707,Corporate Auto,14,A,No
AM57175,<30,Female,62473,Personal Auto,14,A,No
BL44722,<30,Female,46587,Personal Auto,14,A,Yes
DS81757,<30,Male,0,Personal Auto,14,A,No
LK57294,<30,Male,23402,Personal Auto,14,A,No
LC33025,<30,Male,44698,Personal Auto,14,A,No
NG15645,<30,Female,27382,Personal Auto,14,A,No
SZ37147,<30,Male,41005,Personal Auto,14,A,No
JP35025,<30,Female,23726,Corporate Auto,14,A,No
CJ59481,<30,Male,90893,Personal Auto,14,A,No
DN98431,<30,Female,0,Corporate Auto,14,A,No
PP39078,<30,Female,31504,Special Auto,14,A,No
WZ83320,<30,Female,73876,Personal Auto,14,A,No
ZX73673,<30,Male,74015,Personal Auto,14,A,Yes
BI38192,<30,Female,22862,Personal Auto,14,A,No
GH48839,<30,Male,25251,Corporate Auto,14,A,Yes
AN97123,<30,Female,0,Personal Auto,14,A,No
IQ40799,<30,Male,0,Personal Auto,14,A,No
ZC32761,<30,Male,57961,Personal Auto,14,A,No
GX47381,<30,Male,0,Corporate Auto,14,A,Yes
CV44550,<30,Male,0,Corporate Auto,14,A,No
NH76558,<30,Female,97657,Personal Auto,14,A,No
CR12479,<30,Female,40046,Personal Auto,14,A,No
VS42598,<30,Female,62902,Personal Auto,14,A,Yes
AA30683,<30,Male,0,Personal Auto,14,A,No
OL28568,<30,Male,69772,Personal Auto,14,A,No
RA38184,<30,Female,0,Corporate Auto,14,A,No
FX57380,<30,Female,39854,Personal Auto,14,A,Yes
WQ85760,<30,Male,26991,Corporate Auto,14,A,No
RH70599,<30,Male,40506,Personal Auto,14,A,No
GF70857,<30,Male,0,Personal Auto,14,A,No
LU36517,<30,Male,0,Personal Auto,14,A,No
IN77241,<30,Male,65978,Corporate Auto,14,A,No
NY57065,<30,Male,42937,Corporate Auto,14,A,No
OB66874,<30,Female,28137,Personal Auto,14,A,No
ZV36800,<30,Male,14476,Corporate Auto,14,A,No
OE15600,<30,Male,91169,Personal Auto,14,A,No
FQ83162,<30,Male,0,Personal Auto,14,A,No
HO29524,<30,Male,68205,Personal Auto,14,A,No
FK94501,<30,Female,0,Personal Auto,14,A,No
DW72445,<30,Male,52782,Personal Auto,14,A,No
IO25161,<30,Female,0,Personal Auto,14,A,No
LU79865,<30,Male,88370,Personal Auto,14,A,No
JR26812,<30,Male,0,Personal Auto,14,A,No
XT45580,<30,Female,60759,Corporate Auto,14,A,No
CT51200,<30,Female,65709,Corporate Auto,14,A,No
GD57363,<30,Male,38795,Personal Auto,14,A,No
QF66202,<30,Male,31993,Personal Auto,14,A,No
BB82067,<30,Male,67632,Personal Auto,14,A,No
CF41619,<30,Male,20934,Personal Auto,14,A,No
JY16280,<30,Female,43860,Personal Auto,14,A,Yes
BV25135,<30,Male,28314,Personal Auto,14,A,No
YC69616,<30,Female,14030,Personal Auto,14,A,Yes
WT71621,<30,Female,63297,Personal Auto,14,A,No
UW10841,<30,Male,74115,Personal Auto,14,A,No
ON39271,<30,Male,0,Personal Auto,14,A,No
OW33876,<30,Female,47918,Corporate Auto,14,A,No
TP41703,<30,Male,0,Personal Auto,14,A,No
LR10110,<30,Female,0,Corporate Auto,14,A,Yes
MQ73697,<30,Female,68727,Corporate Auto,14,A,No
QA45054,<30,Female,60909,Personal Auto,14,A,No
YD58301,<30,Female,80587,Personal Auto,14,A,No
DO51363,<30,Female,26318,Personal Auto,14,A,No
YG98004,<30,Female,27739,Corporate Auto,14,A,No
IZ88103,<30,Female,79421,Personal Auto,14,A,No
RF44930,<30,Male,52679,Personal Auto,14,A,No
VF17463,<30,Male,62464,Personal Auto,14,A,Yes
DN34058,<30,Female,68211,Corporate Auto,14,A,No
WL69218,<30,Female,54105,Personal Auto,14,A,No
PR74833,<30,Male,0,Personal Auto,14,A,No
LE28486,<30,Female,46210,Personal Auto,14,A,No
VX43756,<30,Male,32903,Personal Auto,14,A,No
RN71166,<30,Female,88081,Personal Auto,14,A,No
VY90611,<30,Female,28264,Corporate Auto,14,A,No
GV91160,<30,Female,10312,Personal Auto,14,A,Yes
XY66810,<30,Female,0,Personal Auto,14,A,No
MG66142,<30,Female,0,Personal Auto,14,A,No
FP67680,<30,Male,15323,Personal Auto,14,A,No
XO75323,<30,Male,72439,Personal Auto,14,A,No
VI78454,<30,Male,51789,Personal Auto,14,A,No
HM20544,<30,Female,0,Personal Auto,14,A,No
XS74432,<30,Female,29218,Personal Auto,14,A,No
QA49556,<30,Male,23401,Personal Auto,14,A,No
QH87479,<30,Female,54586,Personal Auto,14,A,No
TQ13499,<30,Male,69833,Personal Auto,14,A,No
KJ55021,<30,Female,29111,Personal Auto,14,A,No
ZT87452,<30,Female,59592,Personal Auto,14,A,No
LQ20969,<30,Male,59523,Personal Auto,14,A,No
FH22442,<30,Female,60477,Corporate Auto,14,A,No
WZ98067,<30,Male,42512,Personal Auto,14,A,No
WY12393,<30,Female,82667,Special Auto,14,A,No
OQ61223,<30,Male,0,Personal Auto,14,A,No
LK39646,<30,Female,58843,Corporate Auto,14,A,No
GB32334,<30,Female,24702,Personal Auto,14,A,No
IT11766,<30,Female,61896,Personal Auto,14,A,No
QH48047,<30,Male,25251,Personal Auto,14,A,Yes
LY83340,<30,Female,48943,Corporate Auto,14,A,No
PN47493,<30,Female,41968,Corporate Auto,14,A,No
YT36855,<30,Male,0,Personal Auto,14,A,No
DA57177,<30,Female,40864,Personal Auto,14,A,Yes
FA82777,<30,Female,0,Personal Auto,14,A,No
CY30418,<30,Male,72354,Personal Auto,14,A,No
VW13019,<30,Female,12902,Corporate Auto,14,A,Yes
XV69290,<30,Male,49078,Corporate Auto,14,A,Yes
MP68135,<30,Male,90414,Personal Auto,14,A,No
VK92827,<30,Male,93606,Personal Auto,14,A,No
DQ58142,<30,Male,37759,Corporate Auto,14,A,No
OE75629,<30,Male,48675,Corporate Auto,14,A,No
BC64697,<30,Female,0,Personal Auto,14,A,No
ET47892,<30,Male,88340,Personal Auto,14,A,No
XD19546,<30,Female,0,Personal Auto,14,A,No
YD45065,<30,Female,0,Personal Auto,14,A,Yes
UF36172,<30,Female,0,Personal Auto,14,A,No
RX45809,<30,Male,37899,Personal Auto,14,A,No
SK12432,<30,Male,0,Personal Auto,14,A,No
UA63517,<30,Female,0,Personal Auto,14,A,No
LL55780,<30,Female,0,Corporate Auto,14,A,No
IB60476,<30,Male,0,Personal Auto,14,A,No
AM52614,<30,Female,41402,Personal Auto,14,A,No
IS58553,<30,Female,22448,Personal Auto,14,A,No
EH27304,<30,Female,56502,Personal Auto,14,A,No
UN37063,<30,Male,10269,Personal Auto,14,A,No
EO40136,<30,Female,93403,Personal Auto,14,A,No
CE72177,<30,Female,39626,Personal Auto,14,A,No
LS17120,<30,Male,56869,Personal Auto,14,A,No
GW43195,<30,Female,71210,Personal Auto,14,A,Yes
LK73001,<30,Male,34614,Personal Auto,14,A,No
PY10605,<30,Male,0,Personal Auto,14,A,No
PT29055,<30,Female,0,Personal Auto,14,A,No
YD87931,<30,Male,46896,Personal Auto,14,A,No
FM83188,<30,Female,0,Corporate Auto,14,A,No
DL53457,<30,Female,22571,Personal Auto,14,A,Yes
GE82737,<30,Female,0,Personal Auto,14,A,No
KX18446,<30,Male,56980,Corporate Auto,14,A,Yes
AG62087,<30,Male,30335,Corporate Auto,14,A,No
MN32305,<30,Female,0,Personal Auto,14,A,No
AB96670,<30,Male,0,Personal Auto,14,A,No
SI26888,<30,Female,0,Personal Auto,14,A,No
AA11235,<30,Female,11167,Personal Auto,14,A,No
NC53424,<30,Male,0,Personal Auto,14,A,No
LZ34046,<30,Male,76358,Personal Auto,14,A,Yes
PO26937,<30,Male,95102,Corporate Auto,14,A,No
HY36253,<30,Male,28677,Personal Auto,14,A,No
JB39997,<30,Female,36464,Personal Auto,14,A,No
NT15165,<30,Female,43324,Corporate Auto,14,A,No
DY38083,<30,Male,82664,Personal Auto,14,A,Yes
VU99672,<30,Male,0,Corporate Auto,14,A,No
IP94270,<30,Female,16181,Personal Auto,14,A,Yes
DW20514,<30,Male,25539,Personal Auto,14,A,No
IX68587,<30,Female,22886,Personal Auto,14,A,Yes
JP10227,<30,Male,88340,Corporate Auto,14,A,Yes
BP49831,<30,Female,23656,Corporate Auto,14,A,No
HD95496,<30,Male,25950,Personal Auto,14,A,No
GT66241,<30,Male,0,Personal Auto,14,A,No
FF65294,<30,Male,34244,Personal Auto,14,A,No
RB28630,<30,Female,39381,Personal Auto,14,A,No
VO87159,<30,Female,69240,Personal Auto,14,A,No
WS25565,<30,Male,26057,Personal Auto,14,A,Yes
ZD63451,<30,Male,53338,Personal Auto,14,A,No
UB28078,<30,Male,51510,Personal Auto,14,A,No
PO56357,<30,Female,64604,Personal Auto,14,A,No
UH89141,<30,Female,59130,Corporate Auto,14,A,No
BZ85280,<30,Male,10334,Personal Auto,14,A,No
DJ77787,<30,Female,0,Personal Auto,14,A,No
RV98763,<30,Male,61709,Personal Auto,14,A,No
XH47320,<30,Female,83195,Personal Auto,14,A,No
IY77611,<30,Male,0,Corporate Auto,14,A,No
XQ12791,<30,Male,41972,Personal Auto,14,A,No
KP51068,<30,Male,59961,Personal Auto,14,A,No
KS36311,<30,Female,39141,Personal Auto,14,A,No
DB75522,<30,Female,22436,Special Auto,14,A,No
ZN98560,<30,Male,0,Corporate Auto,14,A,No
GB70736,<30,Female,99553,Corporate Auto,14,A,No
LP59331,<30,Male,38606,Personal Auto,14,A,No
FM54600,<30,Female,0,Corporate Auto,14,A,No
AU71562,<30,Female,27179,Personal Auto,14,A,No
FS42690,<30,Male,57647,Personal Auto,14,A,No
UU70820,<30,Female,27880,Personal Auto,14,A,No
ZU73588,<30,Male,66839,Personal Auto,14,A,Yes
BC35753,<30,Female,45525,Personal Auto,14,A,No
MB20764,<30,Male,0,Corporate Auto,14,A,No
RA89822,<30,Female,20090,Personal Auto,14,A,Yes
MT91823,<30,Female,69693,Special Auto,14,A,No
DO98345,<30,Male,72517,Personal Auto,14,A,No
CO12132,<30,Female,52583,Personal Auto,14,A,Yes
EC71986,<30,Female,26736,Personal Auto,14,A,No
ZW84453,<30,Female,0,Personal Auto,14,A,No
HP42153,<30,Female,12928,Personal Auto,14,A,No
SH75038,<30,Female,88723,Personal Auto,14,A,No
HD32044,<30,Female,33816,Corporate Auto,14,A,No
ZW25874,<30,Male,53703,Special Auto,14,A,No
VE52406,<30,Male,95697,Corporate Auto,14,A,Yes
LV62981,<30,Male,22093,Corporate Auto,14,A,No
YO49328,<30,Male,55193,Personal Auto,14,A,No
GU42671,<30,Female,16654,Personal Auto,14,A,No
XV11038,<30,Female,18814,Personal Auto,14,A,No
IE97795,<30,Male,39020,Corporate Auto,14,A,No
GE62437,<30,Female,86584,Personal Auto,14,A,No
BI81476,<30,Female,55906,Personal Auto,14,A,No
AY55759,<30,Female,92766,Personal Auto,14,A,Yes
DG33206,<30,Female,41854,Personal Auto,14,A,No
QD86074,<30,Female,34337,Corporate Auto,14,A,Yes
QV55524,<30,Male,52464,Personal Auto,14,A,No
IH17933,<30,Male,70088,Personal Auto,14,A,No
XS76166,<30,Female,35592,Personal Auto,14,A,No
KR10942,<30,Female,33201,Personal Auto,14,A,No
BY84257,<30,Male,0,Special Auto,14,A,No
PT45842,<30,Male,0,Personal Auto,14,A,No
WQ23548,<30,Female,0,Personal Auto,14,A,No
AP23850,<30,Female,0,Personal Auto,14,A,No
QG61936,<30,Male,0,Corporate Auto,14,A,No
HK30754,<30,Male,26263,Special Auto,14,A,No
RH42306,<30,Female,0,Corporate Auto,14,A,No
BD12981,<30,Female,39337,Personal Auto,14,A,No
WD87578,<30,Female,0,Personal Auto,14,A,No
JW45704,<30,Male,0,Personal Auto,14,A,No
